20 Microns Ltd.	20MICRONS
GKW Ltd.	GKWLIMITED
GlaxoSmithKline Consumer Healthcare Ltd.	GSKCONS
GlaxoSmithKline Pharmaceuticals Ltd.	GLAXO
Glenmark Pharmaceuticals Ltd.	GLENMARK
Global Infrastructure & Technologies Ltd.	MANTRIHSGBE
Global Offshore Services Ltd.	GLOBOFFS
Global Vectra Helicorp Ltd.	GLOBALVECT
Globus Corporation Ltd.	KARUNACAB
Globus Spirits Ltd.	GLOBUSSPR
Glodyne Technoserve Ltd.	GLODYNE
Glory Polyfilms Ltd.	GLORY
GMR Infrastructure Ltd.	GMRINFRA
Goa Carbons Ltd.	GOACARBON
Godavari Fertilizers and Chemicals Ltd.[Merged]	GODAVRFERT
Godawari Power & Ispat Ltd.	GPIL
Godfrey Philips India Ltd.	GODFRYPHLP
Godrej Consumer Products Ltd.	GODREJCP
Godrej Industries Ltd.	GODREJIND
Godrej Properties Ltd.	GODREJPROP
Goenka Diamond & Jewels Ltd.	GOENKA
Gokaldas Exports Ltd.	GOKEX
Gokul Refoils & Solvent Ltd.	GOKUL
Golden Tobacco Ltd.	GOLDENTOBC
Goldiam International Ltd.	GOLDIAM
Goldstone Infratech Ltd.	GOLDINFRA
Goldstone Technologies Ltd.	GOLDTECH
Gontermann Peipers (India) Ltd.	GONTERPEIPBE
Goodricke Group Ltd.	GOODRICKE
Goodyear India Ltd.	GOODYEAR
Govind Rubber Ltd.	GOVINRUBERBE
Grabal Alok Impex Ltd.	GRABALALK
Granules India Ltd.	GRANULES
Graphite India Ltd.	GRAPHITE
Grasim Industries Ltd.	GRASIM
Gravita India Ltd.	GRAVITA
Great Eastern Shipping Company Ltd.	GESHIP
Great Offshore Ltd.	GTOFFSHORE
Greaves Cotton Ltd.	GREAVESCOT
Green Fire Agri Commodities Ltd.	GREENFIRE
Greenearth Resources and Projects Ltd.	AUSTRALBE
Greenply Industries Ltd.	GREENPLY
Grindwell Norton Ltd.	GRINDWELL
GRUH Finance Ltd.	GRUH
GSL (India) Ltd.	GSLBE
GSL Nova Petrochemicals Ltd.	GSLNOVA
GSS Infotech Ltd.	GSS
GTL Infrastructure Ltd.	GTLINFRA
GTL Ltd.	GTL
GTN Industries Ltd.	GTNIND
GTN Textiles Ltd.	GTNTEX
Gufic BioSciences Ltd.	GUFICBIO
Gujarat Alkalies & Chemicals Ltd.	GUJALKALI
Gujarat Ambuja Exports Ltd.	GAEL
Gujarat Apollo Industries Ltd.	GUJAPOLLO
Gujarat Borosil Ltd.	GUJBOROSILBE
Gujarat Cotex Ltd.	GUJCOTEXBE
Gujarat Cypromet Ltd.	GUJCYPROMBE
Gujarat Fluorochemicals Ltd.	GUJFLUORO
Gujarat Gas Company Ltd.	GUJRATGAS
Gujarat Industries Power Company Ltd.	GIPCL
Gujarat Lease Financing Ltd.	GLFL
Gujarat Mineral Development Corporation Ltd.	GMDCLTD
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.	GNFC
Gujarat NRE Coke Ltd.	GUJNRECOKE
Gujarat Optical Communication Ltd.	GUJOPTICALBE
Gujarat Pipavav Port Ltd.	GPPL
Gujarat Raffia Industries Ltd.	GUJRAFFIA
Gujarat Sidhee Cement Ltd.	GUJSIDHCEM
Gujarat State Fertilizer & Chemicals Ltd.	GSFC
Gujarat State Financial Corporation	GUJSTATFINBT
Gujarat State Petronet Ltd.	GSPL
Gujarat Telephone Cable Ltd.	GUJRATTELEBT
Gujarat Themis Biosyn Ltd.	GUJTHEMISBE
Gulf Oil Corporation Ltd.	GULFOILCOR
GVK Power & Infrastructure Ltd.	GVKPIL
Gyscoal Alloys Ltd.	GAL
Halonix Ltd.	HALONIX
Hanil Era Textiles Ltd.	HANILERA
Hanung Toys & Textiles Ltd.	HANUNG
Haria Exports Ltd.	HARIAEXPOBE
Harig Crankshafts Ltd.	HARIGCRANKBE
Harita Seating Systems Ltd.	HARITASEAT
Harrisons Malayalam Ltd.	HARRMALAYA
Haryana Sheet Glass Ltd.	HARYANSHETBE
Hathway Cable & Datacom Ltd.	HATHWAY
Havells India Ltd.	HAVELLS
Hawkins Cookers Ltd.	HAWKINCOOKBE
Company	Code
HB Stockholdings Ltd.	HBSTOCK
HBL Power Systems Ltd.	HBLPOWER
HCL Infosystems Ltd	HCL-INSYS
HCL Technologies Ltd.	HCLTECH
HDFC Bank Ltd.	HDFCBANK
Heatshrink Technologies Ltd.	REPLENGINEBE
HEG Ltd.	HEG
Heidelberg Cement India Ltd.	HEIDELBERGBE
Helios and Matheson Information Technology Ltd.	HELIOSMATH
Herbertsons Ltd.	HERBETSONBT
Hercules Hoists Ltd.	HERCULES
Heritage Foods (India) Ltd.	HERITGFOOD
Hero MotoCorp Ltd.	HEROMOTOCO
Hexa Tradex Ltd.	HEXATRADEXBE
Hexaware Technologies Ltd.	HEXAWARE
Hi Tech Gears Ltd.	HITECHGEAR
Hikal Ltd.	HIKAL
HIL Ltd.	HIL
Hilton Metal Forging Ltd.	HILTON
Himachal Futuristic Communications Ltd.	HFCL
Himadri Chemicals & Industries Ltd.	HCIL
Himalaya Granites Ltd.	HIMGRANITEBE
Himatsingka Seide Ltd.	HIMATSEIDE
Hind Industries Ltd.	HINDINDBE
Hind Rectifiers Ltd.	HIRECT
Hind Syntex Ltd.	HINDSYNTEXBE
Hindalco Industries Ltd.	HINDALCO
Hindoostan Spinning & Weaving Mills Ltd.[Merged]	HINDSPGBE
Hinduja Foundries Ltd.	HINDUJAFO
Hinduja Global Solutions Ltd.	HGS
Hinduja Ventures Ltd.	HINDUJAVEN
Hindustan Composites Ltd.	HINDCOMPOS
Hindustan Construction Company Ltd.	HCC
Hindustan Copper Ltd.	HINDCOPPER
Hindustan Dorr-Oliver Ltd.	HINDDORROL
Hindustan Media Ventures Ltd.	HMVL
Hindustan Motors Ltd.	HINDMOTORS
Hindustan Oil Exploration Company Ltd.	HINDOILEXP
Hindustan Organic Chemicals Ltd.	HOCL
Hindustan Petroleum Corporation Ltd.	HINDPETRO
Hindustan Power Plus Ltd.	HINPOWPLUS
Hindustan Tin Works Ltd.	HINDTINWRKBE
Hindustan Unilever Ltd.	HINDUNILVR
Hindustan Zinc Ltd.	HINDZINC
Hindusthan National Glass & Industries Ltd.	HINDNATGLS
Hira Ferro Alloys Ltd.	HIRAFERRO
Hitachi Home & Life Solutions Ltd.	HITACHIHOM
Hitech Plast Ltd.	HITECHPLAS
HMT Ltd.	HMT
Honda Siel Power Products Ltd.	HONDAPOWER
Honeywell Automation India Ltd.	HONAUT
Horizon Infrastructure Ltd.	HORIZONINF
Hotel Leela Venture Ltd.	HOTELEELA
Hotel Rugby Ltd.	HOTELRUGBY
Hotline Glass Ltd.	HOTLINGLAS
Housing Development & Infrastructure Ltd.	HDIL
Housing Development Finance Corporation Ltd.	HDFC
HOV Services Ltd.	HOVS
HSBC InvestDirect (India) Ltd.	HINVDIR
HSIL Ltd.	HSIL
HT Media Ltd.	HTMEDIA
Hubtown Ltd.	HUBTOWN
Hybrid Financial Services Ltd.	MAFATLAFINBE
Hydro S & S Industries Ltd.	HYDROSandS
I G Petrochemicals Ltd.	IGPL
I P Rings Ltd.	IPRINGLTD
IAG Company Ltd.	INDOASAHIBE
IBP Company Ltd.	IBP
ICICI Bank Ltd.	ICICIBANK
ICICI Premium Mutual Fund Scheme	ICICIPREMBE
ICRA Ltd.	ICRA
ICSA-India Ltd.	ICSA
IDBI Bank Ltd.	IDBI
Idea Cellular Ltd.	IDEA
IDFC Ltd.	IDFC
IFB Agro Industries Ltd.	IFBAGRO
IFB Industries Ltd.	IFBIND
IFCI Ltd.	IFCI
IFGL Refractories Ltd.	IFGLREFRAC
Igarashi Motors India Ltd.	IGARASHI
iGATE Global Solutions Ltd.	IGS
IL&FS Engineering & Construction Company Ltd.	ILandFSENGG
IL&FS Investment Managers Ltd.	IVC
IL&FS Transportation Networks Ltd.	ILandFSTRANS
IMP Powers Ltd.	INDLMETER
Impex Ferro Tech Ltd.	IMPEXFERRO
Ind Swift Ltd.	INDSWFTLTD
Indbank Merchant Banking Services Ltd.	INDBANKBE
India Cements Ltd.	INDIACEM
India Foils Ltd.[Amalgamted]	IFLBE
India Glycols Ltd.	INDIAGLYCO
India Infoline Ltd.	INDIAINFO
India Lease Development Ltd.	INDIALEASEBE
India Motor Parts & Accessories Ltd.	IMPAL
India Nippon Electricals Ltd.	INDNIPPON
India Polyfibres Ltd.[Merged]	INDIAPOLYBE
India Securities Ltd.	INDIASECBE
India Steel Works Ltd.	ISIBARS
Indiabulls Financial Services Ltd.	INDIABULLS
Indiabulls Infrastructure and Power Ltd.	IBIPL
Indiabulls Power Ltd.	IBPOW
Company	Code
Indiabulls Real Estate Ltd.	IBREALEST
Indiabulls Securities Ltd.	IBSEC
Indiabulls Wholesale Services Ltd.	IBWSL
Indian Acrylics Ltd.	INDIANACRYBE
Indian Aluminium Company Ltd.	INDAL
Indian Bank	INDIANB
Indian Card Clothing Company Ltd.	INDIANCARD
Indian Hotels Company Ltd.	INDHOTEL
Indian Hume Pipe Company Ltd.	INDIANHUME
Indian Metals & Ferro Alloys Ltd.	IMFA
Indian Oil Corporation Ltd.	IOC
Indian Overseas Bank	IOB
Indian Petrochemicals Corporation Ltd.	IPCL
Indian Sucrose Ltd.	OSWALSUGBE
Indian Terrain Fashions Ltd.	INDTERRAIN
Indo Biotech Foods Ltd.	INDBIOFOODBE
Indo Count Industries Ltd.	ICIL
Indo Gulf Fertilisers Ltd.	IGFLFERT
Indo Rama Synthetics (India) Ltd.	INDORAMA
Indo Rama Textiles Ltd.[Merged]	INDORAMTEX
Indo Tech Transformers Ltd.	INDOTECHBE
Indo Thai Securities Ltd.	INDOTHAI
Indoco Remedies Ltd	INDOCO
Indokem Ltd.	KHATJUNKERBE
Indosolar Ltd.	INDOSOLAR
Indowind Energy Ltd.	INDOWIND
Indraprastha Gas Ltd.	IGL
Indraprastha Medical Corporation Ltd.	INDRAMEDCO
Indtradeco Ltd.	INDTRADECOBE
Indu Nissan Oxo Chemicals Industries Ltd.	INDUNISSANBE
Indus Fila Ltd.	INDUSFILA
IndusInd Bank Ltd.	INDUSINDBK
Industrial Investment Trust Ltd.	IITL
Infinite Computer Solutions (India) Ltd.	INFINITE
Info Edge (India) Ltd.	NAUKRI
Info-Drive Software Ltd.	INFODRIVE
Infomedia Press Ltd.	INFOMEDIABE
Infosys Ltd.	INFY
Infotech Enterprises Ltd.	INFOTECENT
ING Vysya Bank Ltd.	INGVYSYABK
Ingersoll-Rand (India) Ltd.	INGERRAND
Innovative Foods Ltd.	INOVATMARNBE
Innoventive Industries Ltd.	INNOIND
Inox Leisure Ltd.	INOXLEISURBE
Insecticides (India) Ltd.	INSECTICID
Insilco Ltd.	INSILCO
Integrated Enterprises (India) Ltd.	INTEGENTBE
Integrated Finance Company Ltd.	INTEGRFINBE
International Travel House Ltd.	INTLTRAVHS
Intrasoft Technologies Ltd.	ISFT
Inventure Growth & Securities Ltd.	INVENTURE
IOL Chemicals and Pharmaceuticals Ltd.	IOLCP
IOL Netcom Ltd.	IOLN
Ion Exchange (India) Ltd.	IONEXCHANG
Ipca Laboratories Ltd.	IPCALAB
IRB Infrastructure Developers Ltd.	IRB
ISGEC Heavy Engineering Ltd.	SARASIND
ISMT Ltd.	ISMTLTD
ITC Ltd.	ITC
ITD Cementation India Ltd.	ITDCEM
ITI Ltd.	ITI
IVP Ltd.	IVP
IVRCL Assets & Holdings Ltd.	IVRCLAH
IVRCL Ltd.	IVRCLINFRA
J B Chemicals & Pharmaceuticals Ltd.	JBCHEPHARM
J D Orgochem Ltd.	JDORGOCHEM
J F Laboratories Ltd.	JFLABSBE
J Kumar Infraprojects Ltd.	JKIL
Jagatjit Industries Ltd.	JAGAJITINDBE
Jagran Prakashan Ltd.	JAGRAN
Jagsonpal Pharmaceuticals Ltd.	JAGSNPHARM
Jai Balaji Industries Ltd.	JAIBALAJIBE
Jai Corp Ltd.	JAICORPLTD
Jai Parabolic Springs Ltd.[Amalgamated]	JAIPARBOLIBE
Jaihind Projects Ltd.	JAIHINDPRO
Jain Irrigation Systems Ltd.	JISLJALS
Jain Studios Ltd.	JAINSTUDIOBE
Jaiprakash Associates Ltd.	JPASSOCIAT
Jaiprakash Power Ventures Ltd.	JPPOWER
Jammu & Kashmir Bank Ltd.	JandKBANK
Jamna Auto Industries Ltd.	JAMNAAUTO
Jasch Industries Ltd.	JASCHINDBE
Jay Bharat Maruti Ltd.	JAYBARMARU
Jay Shree Tea & Industries Ltd.	JAYSREETEA
Jayant Agro Organics Ltd.	JAYAGROGN
Jayaswal Neco Industries Ltd.	JAYNECOIND
Jaykay Enterprises Ltd.	JKSYNTHETCBE
Jaypee Hotels Ltd.(Merged)	JAYPEEHOT
Jaypee Infratech Ltd.	JPINFRATEC
Jaysynth Dyestuff (India) Ltd.	JAYDYSTUFBE
JBF Industries Ltd.	JBFIND
JBM Auto Ltd.	JBMA
JCT Electronics Ltd.	JCTEL
JCT Ltd.	JCTBE
Jenson & Nicholson (India) Ltd.	JENSONICOL
Jet Airways (India) Ltd.	JETAIRWAYS
Jeypore Sugar Company Ltd.	JEYPOREBE
Jhagadia Copper Ltd.	SWILBE
JHS Svendgaard Laboratories Ltd.	JHS
Company	Code
JIK Industries Ltd.	JIKIND
Jindal Cotex Ltd.	JINDCOT
Jindal Drilling & Industries Ltd.	JINDRILL
Jindal Photo Ltd.	JINDALPHOT
Jindal Poly Films Ltd.	JINDALPOLY
Jindal Saw Ltd.	JINDALSAW
Jindal South West Holdings Ltd.	JINDALSWHL
Jindal Stainless Ltd.	JSL
Jindal Steel & Power Ltd.	JINDALSTEL
JK Cement Ltd.	JKCEMENT
JK Lakshmi Cement Ltd.	JKLAKSHMI
JK Paper Ltd.	JKPAPER
JK Pharmachem Ltd.	JKPHARMABE
JK Tyre & Industries Ltd.	JKTYRE
JM Financial Ltd.	JMFINANCIL
JMC Projects (India) Ltd.	JMCPROJECT
JMT Auto Ltd.	JMTAUTOLTD
Jocil Ltd.	JOCIL
Jog Engineering Ltd.	VMJOGENGGBE
JSW Energy Ltd.	JSWENERGY
JSW Ispat Steel Ltd.	JSWISPAT
JSW Steel Ltd.	JSWSTEEL
Jubilant Foodworks Ltd.	JUBLFOOD
Jubilant Industries Ltd.	JUBLINDS
Jubilant Life Sciences Ltd.	JUBILANT
Jumbo Bags Ltd.	JUMBO
Jupiter Bioscience Ltd.	JUPITERBE
JVL Agro Industries Ltd.	JVLAGRO
Jyothy Laboratories Ltd.	JYOTHYLAB
Jyoti Structures Ltd.	JYOTISTRUC
K G Denim Ltd.	KGDENIMBE
K J International Ltd.	KJINTLBE
K S Oils Ltd.	KSOILS
K Sera Sera Ltd.	KSERASERABE
K-Lifestyle & Industries Ltd.	SHREEKRPOL
Kabra Extrusion Technik Ltd.	KABRAEXTRU
Kajaria Ceramics Ltd.	KAJARIACER
Kakatiya Cement Sugar & Industries Ltd.	KAKATCEM
Kalindee Rail Nirman (Engineers) Ltd.	KALINDEE
Kalpataru Power Transmissions Ltd.	KALPATPOWR
Kalyani Forge Ltd.	KALYANIFRGBE
Kalyani Investment Company Ltd.	KICL
Kalyani Steels Ltd.	KSL
Kamat Hotels (India) Ltd.	KAMATHOTEL
Kamdhenu Ispat Ltd.	KIL
Kanani Industries Ltd.	KANANIINDBE
Kandagiri Spinning Mills Ltd.	KANDAGIRI
Kanel Industries Ltd.	KANELOILBE
Kanoria Chemicals & Industries Ltd.	KANORICHEM
Kansai Nerolac Paints Ltd.	KANSAINER
Karma Energy Ltd.	KARMAENG
Karma Energy Ltd.[Amalgamated]	KARMAENGBE
Karnataka Bank Ltd.	KTKBANK
Karur KCP Packkagings Ltd.	KARURKCP
Karur Vysya Bank Ltd.	KARURVYSYA
Karuturi Global Ltd.	KGL
Kaushalya Infrastructure Development Corpn.Ltd.	KAUSHALYA
Kaveri Seed Company Ltd.	KSCL
Kavveri Telecom Products Ltd.	KAVVERITEL
KCP Ltd.	KCP
KCP Sugar & Industries Corporation Ltd.	KCPSUGIND
KDL Biotech Ltd.	KOPDRUGSBE
KEC International Ltd.	KEC
KEI Industries Ltd.	KEI
Kemrock Industries & Exports Ltd.	KEMROCK
Kennametal India Ltd.	WIDIA
Kernex Microsystems (India) Ltd.	KERNEX
Kesar Enterprises Ltd.	KESARENT
Kesar Terminals & Infrastructure Ltd.	KTIL
Kesoram Industries Ltd.	KESORAMIND
Kewal Kiran Clothing Ltd.	KKCL
Keynote Corporate Services Ltd.	KEYCORPSER
Khaitan (India) Ltd.	KHAITANLTD
Khaitan Electricals Ltd.	KHAITANELE
Khandwala Securities Ltd.	KHANDSE
Kilburn Engineering Ltd.	KILBUNENGGBE
Kilitch Drugs(I) Ltd.	KILITCH
Kinetic Engineering Ltd.	KINETICENG
Kinetic Motor Company Ltd.	KINETICMOT
Kingfisher Airlines Ltd.	KFA
Kiri Industries Ltd.	KIRIINDUS
Kirloskar Brothers Investments Ltd.	KBIL
Kirloskar Brothers Ltd.	KIRLOSBROS
Kirloskar Electric Company Ltd.	KECL
Kirloskar Ferrous Industries Ltd.	KIRLOSFERR
Kirloskar Industries Ltd.	KIRLOSIND
Kirloskar Investment & Finance Ltd.	KIRLOSINVBE
Kirloskar Oil Engines Ltd.	KIRLOSENG
Kirloskar Pneumatic Ltd.	KGKHOSLABE
Kitex Garments Ltd.	KITEX
Kitply Industries Ltd.	KITPLYIND
KJMC Financial Services Ltd.	KJMCFINBE
KLG Systel Ltd.	KLGSYSTEL
KLRF Ltd.	KLRFBE
KM Sugar Mills Ltd.	KMSUGAR
KND Engineering Technologies Ltd.	KNDENGTECHBE
KNR Constructions Ltd.	KNRCON
Kochi Refineries Ltd.(Merged)	COCHINREFN
Kohinoor Foods Ltd.	KOHINOOR
Kojam Fininvest Ltd.[Merged]	KOJAMFIN
Kokuyo Camlin Ltd.	KOKUYOCMLN
Company	Code
Kolte-Patil Developers Ltd.	KOLTEPATIL
Kopran Ltd.	KOPRAN
Kotak Mahindra Bank Ltd.	KOTAKBANK
Kothari Industrial Corporation Ltd.	KOTHARINDLBE
Kothari Petrochemicals Ltd.	KOTHARIPET
Kothari Products Ltd.	KOTHARIPRO
Kothari Sugars & Chemicals Ltd.	KOTARISUG
Koutons Retail India Ltd.	KOUTONSBE
Kovai Medical Center and Hospital Ltd.	KOVAIBE
KPIT Cummins Infosystems Ltd.	KPIT
KPR Mill Ltd.	KPRMILL
KRBL Ltd.	KRBL
Krebs Biochemicals & Industries Ltd.	KREBSBIO
Krishna Engineering Works Ltd.	KRISHNAENG
Kriti Industries (India) Ltd.	KRITIIND
KSB Pumps Ltd.	KSBPUMPS
KSE Ltd	KSE
KSK Energy Ventures Ltd.	KSK
Kumaka Industries Ltd.	ASHOKORGBE
Kwality Dairy (India) Ltd.	KWALITY
L&T Finance Holdings Ltd.	LandTFH
La Opala RG Ltd.	LAOPALA
Labh Construction & Industries Ltd.	LABHCONSTBE
Lakshmi Electrical Control Systems Ltd.	LAKSELECONBE
Lakshmi Energy & Foods Ltd.	LAKSHMIEFL
Lakshmi Finance & Industrial Corporation Ltd.	LAKSHMIFINBE
Lakshmi Machine Works Ltd.	LAXMIMACH
Lakshmi Mills Company Ltd.	LAKSHMIMIL
Lakshmi Precision Screws Ltd.	LAKPRE
Lakshmi Vilas Bank Ltd.	LAKSHVILAS
Lanco Industries Ltd.	LANCOIN
Lanco Infratech Ltd.	LITL
Landmark Property Development Company Ltd.	LPDCBE
Larsen & Toubro Ltd.	LT
LCC Infotech Ltd.	LCCINFOTEC
LD Textile Industries Ltd.	LDTEXTBE
LG Balakrishnan & Bros Ltd.	LGBBROSLTD
LGB Forge Ltd.	LGBFORGE
Liberty Shoes Ltd.	LIBERTSHOE
LIC Housing Finance Ltd.	LICHSGFIN
Lila World Wide Ltd.	VATSMUSC
LKP Finance Ltd.	LKPMERFINBE
Lloyd Electric and Engineering Ltd.	LLOYDELENG
Lloyds Finance Ltd.	LLOYDFIN
Lloyds Metals & Energy Ltd.	LLOYDMETALBE
Lloyds Steel Industries Ltd.	LLOYDSTEEL
LML Ltd.	LML
Logix Microsystems Ltd.	LOGIXMICRO
Lok Housing & Constructions Ltd.	LOKHSGBE
Lokesh Machines Ltd.	LOKESHMACH
Lords Chloro Alkali Ltd.	MODIALKALIBE
Lotte India Corporation Ltd.	LOTTEINDIA
Lotus Eye Care Hospital Ltd.	LOTUSEYE
Lovable Lingerie Ltd.	LOVABLE
LT Foods Ltd.	DAAWAT
Lumax Auto Technologies Ltd.	LUMAXTECH
Lumax Automotive Systems Ltd.	LUMAXAUTO
Lumax Industries Ltd.	LUMAXIND
Lupin Ltd.	LUPIN
Lyka Labs Ltd.	LYKALABS
M And B Switchgears Ltd.	MBSWITCHBE
M M Forgings Ltd.	MMFL
M P Agro Industries Ltd.	MPAGROFERTBE
Maan Aluminium Ltd.	MAANALU
Maars Software International Ltd.	MAARSOFTWBE
Madhav Marbles & Granites Ltd.	MADHAV
Madhucon Projects Ltd.	MADHUCON
Madhur Industries Ltd.	MADHURFOODBE
Madhusudan Industries Ltd.	MADSUDINDBE
Madras Aluminium Company Ltd.	MALCO
Madras Cements Ltd.	MADRASCEM
Madras Fertilizers Ltd.	MADRASFERT
Mafatlal Industries Ltd.	MAFATLAINDBE
Magma Fincorp Ltd.	MAGMA
Magnum Ventures Ltd.	MAGNUMBE
Maha Rashtra Apex Corporation Ltd.	MAHAPEXLTD
Mahanagar Telephone Nigam Ltd.	MTNL
Maharashtra Scooters Ltd.	MAHSCOOTER
Maharashtra Seamless Ltd.	MAHSEAMLES
Mahendra Petrochemicals Ltd.	MAHENDSUITBE
Mahindra & Mahindra Financial Services Ltd.	MandMFIN
Mahindra & Mahindra Ltd.	MandM
Mahindra Forgings Ltd.	MAHINDFORG
Mahindra Holidays & Resorts India Ltd.	MHRIL
Mahindra Lifespace Developers Ltd.	MAHLIFE
Mahindra Ugine Steel Company Ltd.	MAHINDUGIN
Maikaal Fibres Ltd.	MAIKALFIBRBE
Maithan Alloys Ltd.	MAITHANALL
Majestic Auto Ltd.	MAJESAUTO
Majestic Industries Ltd.	MAJESTINDBE
Malu Paper Mills Ltd.	MALUPAPER
Malwa Cotton Spinning Mills Ltd.	MALWACOTT
Man Industries (India) Ltd.	MANINDS
Man Infraconstruction Ltd.	MANINFRA
Manaksia Ltd.	MANAKSIA
Manali Petrochemicals Ltd.	MANALIPETC
Manappuram Finance Ltd.	MANAPPURAM
Mandhana Industries Ltd.	MANDHANA
Mangalam Cement Ltd.	MANGLMCEM
Company	Code
Mangalam Drugs and Organics Ltd.	MANGALAMBE
Mangalam Timber Products Ltd.	MANGTIMBERBE
Mangalore Chemicals & Fertilizers Ltd.	MANGCHEFER
Mangalore Refinery And Petrochemicals Ltd.	MRPL
Manjeera Constructions Ltd.	MANJEERA
Manjushree Technopack Ltd.	MANJUSHREE
Manugraph India Ltd.	MANUGRAPH
Maral Overseas Ltd.	MARALOVER
Marg Ltd.	MARG
Marico Ltd.	MARICO
Marksans Pharma Ltd.	MARKSANSBE
Maruti Suzuki India Ltd.	MARUTI
Mastek Ltd.	MASTEKBE
Mavi Industries Ltd.	KRISNAFILA
Mawana Sugars Ltd.	MAWANASUG
Mawana Sugars Ltd.(Old)	MAWANA
Max India Ltd.	MAX
Maxwell Industries Ltd.	MAXWELLBE
Mayur Uniquoters Ltd.	MAYURUNIQ
MBL Infrastructures Ltd.	MBLINFRA
McDowell Holdings Ltd.	MCDHOLDING
McLeod Russel (India) Ltd.	MCLEODRUSS
McNally Bharat Engineering Company Ltd.	MBECL
Medi-Caps Ltd.	MEDICAPSBE
Megasoft Ltd.	MEGASOFT
Meghmani Organics Ltd.	MEGH
Melstar Information Technology Ltd.	MELSTAR
Mercator Ltd.	MERCATOR
Merck Ltd.	MERCK
Metalman Industries Ltd.	METALPIPEBE
Metkore Alloys & Industries Ltd.	METKORE
Metrochem Industries Ltd.	METROCHEM
Metroglobal Ltd.	GLOBABOARDBE
MIC Electronics Ltd.	MIC
Micro Inks Ltd.	MICRO
Micro Technologies (India) Ltd.	MICROTECH
Microsec Financial Services Ltd.	MICROSEC
Millennium Beer Industries Ltd.[Amalgamated]	INERTIAINDBE
Milton Plastics Ltd.	MILTONPLAS
Minda Corporation Ltd.	MINDACORPBE
Minda Industries Ltd.	MINDAIND
MindTree Ltd.	MINDTREE
MIRC Electronics Ltd.	MIRCELECTR
Mirza International Ltd.	MIRZAINT
MMTC Ltd.	MMTC
Modern Insulators Ltd.	MODINSULATBE
Modern Malleables Ltd.	MODERNMALBE
Modi Rubber Ltd.	MODIRUBBER
Modipon Ltd.	MODIPONBE
MOIL Ltd.	MOIL
Mold-Tek Technologies Ltd.	MOLDPLASTBE
Money Matters Financial Services Ltd.	MMFSL
Monica Electronics Ltd.	MONICAELECBE
Monnet Ispat & Energy Ltd.	MONNETISPA
Monsanto India Ltd.	MONSANTO
Montari Industries Ltd.	MONTARINDBE
Morarjee Textiles Ltd.	MORARJEE
Morepen Laboratories Ltd.	MOREPENLAB
Moser Baer India Ltd.	MOSERBAER
Motherson Sumi Systems Ltd.	MOTHERSUMI
Motilal Oswal Financial Services Ltd.	MOTILALOFS
Motor & General Finance Ltd.	MOTOGENFIN
MphasiS Ltd.	MPHASIS
MPIL Corporation Ltd.	MATHPLATTBE
MPS Ltd.	MPSLTD
MRF Ltd.	MRF
MRO - TEK Ltd.	MRO-TEK
MSP Steel & Power Ltd.	MSPL
MT Educare Ltd.	MTEDUCARE
MTZ Industries Ltd.	METAZINCBE
Mudra Lifestyle Ltd.	MUDRABE
Mukand Engineers Ltd.	MUKANDENGG
Mukand Ltd.	MUKANDLTD
Mukat Pipes Ltd.	MUKATPIPEBE
Mukerian Papers Ltd.	MUKERPAPERBE
Mukta Arts Ltd.	MUKTAARTS
Multi - Arc India Ltd.	MULTIARCBE
Multi Commodity Exchange of India Ltd.	MCX
Munjal Auto Industries Ltd.	MUNJALAU
Munjal Showa Ltd.	MUNJALSHOW
Murli Industries Ltd.	MURLIIND
Murudeshwar Ceramics Ltd.	MURUDCERA
Murugappa Holdings Ltd.	PARRYAGRO
Muthoot Finance Ltd.	MUTHOOTFIN
MVL Industries Ltd.	MVLIND
MVL Ltd.	MVLBE
Mylan Laboratories Ltd.	MATRIXLABS
Mysore Petro Chemicals Ltd.	MYSORPETROBE
N K Industries Ltd.	NKIND
Nagarjuna Fertilisers & Chemicals Ltd.(Old)	NAGARFERT
Nagarjuna Oil Refinery Ltd.	NAGAROIL
Nagreeka Capital & Infrastructure Ltd.	NAGREEKCAP
Nagreeka Exports Ltd.	NAGREEKEXP
Nahar Capital & Financial Services Ltd.	NAHARCAP
Nahar Industrial Enterprises Ltd.	NAHARINDUS
Nahar Poly Films Ltd.	NAHARPOLY
Nahar Spinning Mills Ltd.	NAHARSPING
Nakoda Ltd.	NAKODATEXBE
Nalwa Sons Investments Ltd.	NSIL
Namtech Electronic Devices Ltd.	NAMTECHELE
Nandan Exim Ltd.	NANDANEXIM
Company	Code
Narmada Chematur Petrochemicals Ltd.	NARMDCHEMA
Narmada Gelatines Ltd.	SHAWGELTINBE
Natco Pharma Ltd.	NATCOPHARM
Nath Pulp & Paper Mills Ltd.	NATHPULPBE
Nath Seeds Ltd.	NATHSEEDBE
National Aluminium Company Ltd.	NATIONALUM
National Buildings Construction Corporation Ltd.	NBCC
National Fertilizers Ltd.	NFL
National Oxygen Ltd.	NOL
National Peroxide Ltd.	NATPEROXIDBE
National Steel and Agro Industries Ltd.	NATNLSTEEL
National Wind Power Corporation Ltd.	NEPCPAPERBE
Nava Bharat Ventures Ltd.	NBVENTURES
Navin Fluorine International Ltd.	NAVINFLUOR
Navinon Ltd.	INDYESTUFBE
